-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us     468.145ms       312.28%     468.145ms      33.439ms            14
                                      vllm::moe_forward        19.53%     128.901ms        50.04%     330.221ms       1.214ms     118.812ms        79.25%     129.293ms     475.343us           272
                 execute_context_7(896)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     112.719ms        75.19%     112.719ms     112.719ms             1
                    mixedbit_fused_up_activation_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      73.871ms        49.28%      73.871ms     192.373us           384
                mixedbit_variable_m_grouped_gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      43.574ms        29.07%      43.574ms     113.474us           384
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      40.269ms        26.86%      40.269ms      40.269ms             1
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      33.445ms        22.31%      33.445ms      33.445ms             1
                            gemlite::forward_functional        13.85%      91.367ms        15.85%     104.599ms     192.277us       8.237ms         5.49%       8.569ms      15.752us           544
                                               aten::mm         1.47%       9.676ms         1.75%      11.538ms      39.925us       5.063ms         3.38%       5.063ms      17.519us           289
                                        gemm_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.731ms         3.16%       4.731ms      73.922us            64
                                 gemm_splitK_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.506ms         2.34%       3.506ms       7.305us           480
                                _vllm_fa2_C::varlen_fwd         0.97%       6.393ms         1.77%      11.690ms      42.978us       3.120ms         2.08%       3.120ms      11.472us           272
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       2.784ms         1.86%       2.784ms      11.601us           240
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.720ms         1.81%       2.720ms      11.332us           240
                                            aten::copy_         2.05%      13.504ms        12.24%      80.797ms      24.068us       2.321ms         1.55%       2.321ms       0.692us          3357
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.994ms         1.33%       1.994ms     124.628us            16
                                         aten::bincount         0.70%       4.627ms        10.31%      68.063ms     177.247us       1.412ms         0.94%       2.575ms       6.706us           384
void at::cuda::kernelHistogram1D<long, int, long, 1,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.412ms         0.94%       1.412ms       3.678us           384
