-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                      vllm::moe_forward        24.99%     116.038ms        84.45%     392.207ms       8.171ms     222.311ms        87.47%     242.230ms       5.046ms            48
                execute_context_4(2048)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     215.166ms        84.66%     215.166ms     215.166ms             1
                execute_context_3(1536)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     170.121ms        66.94%     170.121ms     170.121ms             1
                    mixedbit_fused_up_activation_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     137.081ms        53.94%     137.081ms     267.736us           512
                mixedbit_variable_m_grouped_gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      77.535ms        30.51%      77.535ms     151.435us           512
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      74.679ms        29.38%      74.679ms      74.679ms             1
                            gemlite::forward_functional         3.60%      16.731ms         3.87%      17.954ms     187.021us      14.590ms         5.74%      14.590ms     151.982us            96
                                        gemm_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.590ms         5.74%      14.590ms     151.982us            96
                      deterministic_chunk_reduce_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.696ms         3.03%       7.696ms      15.031us           512
                                Activity Buffer Request         1.04%       4.843ms         1.29%       6.003ms       2.001ms       6.894ms         2.71%       7.076ms       2.359ms             3
                                           Buffer Flush         0.02%      71.123us         0.02%      76.970us      76.970us       6.891ms         2.71%       6.891ms       6.891ms             1
                                         aten::bincount         1.30%       6.015ms        38.33%     177.998ms     347.652us       4.702ms         1.85%       6.302ms      12.308us           512
void at::cuda::kernelHistogram1D<long, int, long, 1,...         0.00%       0.000us         0.00%       0.000us       0.000us       4.702ms         1.85%       4.702ms       9.184us           512
                                _vllm_fa2_C::varlen_fwd         0.25%       1.168ms         0.46%       2.142ms      44.617us       1.664ms         0.65%       1.664ms      34.672us            48
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.664ms         0.65%       1.664ms      34.672us            48
                                            aten::copy_         1.61%       7.475ms        34.96%     162.363ms      86.686us       1.439ms         0.57%       1.439ms       0.768us          1873
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.303ms         0.51%       1.303ms       2.520us           517
                                           aten::gather         1.02%       4.754ms         2.08%       9.660ms      18.758us       1.301ms         0.51%       1.304ms       2.531us           515
                                             aten::sort         0.30%       1.403ms         0.99%       4.593ms      95.696us       1.098ms         0.43%       1.176ms      24.502us            48
