-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us     390.949ms       276.70%     390.949ms      27.925ms            14
                                      vllm::moe_forward        23.45%     125.958ms        34.35%     184.509ms     678.344us     118.920ms        84.17%     120.677ms     443.667us           272
                 execute_context_7(896)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      74.008ms        52.38%      74.008ms      74.008ms             1
                    mixedbit_fused_up_activation_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.727ms        51.47%      72.727ms     189.392us           384
                mixedbit_variable_m_grouped_gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      43.076ms        30.49%      43.076ms     112.177us           384
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      36.379ms        25.75%      36.379ms      36.379ms             1
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us      28.722ms        20.33%      28.722ms      28.722ms             1
                            gemlite::forward_functional        16.52%      88.771ms        18.93%     101.693ms     186.936us       8.219ms         5.82%       8.550ms      15.718us           544
                                               aten::mm         1.73%       9.320ms         2.08%      11.186ms      38.707us       5.071ms         3.59%       5.071ms      17.546us           289
                                        gemm_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.713ms         3.34%       4.713ms      73.648us            64
                                 gemm_splitK_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.506ms         2.48%       3.506ms       7.304us           480
                                _vllm_fa2_C::varlen_fwd         1.27%       6.815ms         2.27%      12.169ms      44.739us       3.124ms         2.21%       3.124ms      11.485us           272
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       2.795ms         1.98%       2.795ms      11.647us           240
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.722ms         1.93%       2.722ms      11.343us           240
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.990ms         1.41%       1.990ms     124.399us            16
                 fused_weighted_unpermute_reduce_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.375ms         0.97%       1.375ms       3.581us           384
                                 _C::fused_add_rms_norm         0.64%       3.457ms         1.20%       6.453ms      11.863us       1.035ms         0.73%       1.035ms       1.902us           544
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.035ms         0.73%       1.035ms       1.902us           544
