-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                      vllm::moe_forward        33.94%      99.649ms        45.56%     133.770ms       2.787ms     221.527ms        91.59%     223.142ms       4.649ms            48
                    mixedbit_fused_up_activation_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     133.321ms        55.12%     133.321ms     260.393us           512
                execute_context_4(2048)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     133.131ms        55.04%     133.131ms     133.131ms             1
                execute_context_3(1536)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     104.590ms        43.24%     104.590ms     104.590ms             1
                mixedbit_variable_m_grouped_gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      77.206ms        31.92%      77.206ms     150.792us           512
                 execute_context_1(512)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      53.660ms        22.18%      53.660ms      53.660ms             1
                            gemlite::forward_functional         5.40%      15.859ms         5.80%      17.030ms     177.399us      14.561ms         6.02%      14.561ms     151.673us            96
                                        gemm_INT_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.561ms         6.02%      14.561ms     151.673us            96
                 fused_weighted_unpermute_reduce_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.729ms         3.20%       7.729ms      15.095us           512
                                _vllm_fa2_C::varlen_fwd         0.38%       1.128ms         0.71%       2.096ms      43.657us       1.661ms         0.69%       1.661ms      34.613us            48
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.661ms         0.69%       1.661ms      34.613us            48
                            stable_count_offsets_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.488ms         0.62%       1.488ms      31.009us            48
                         stable_scatter_dispatch_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.350ms         0.56%       1.350ms      28.116us            48
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.274ms         0.53%       1.274ms       2.465us           517
                                           aten::gather         1.57%       4.612ms         2.55%       7.489ms      14.543us       1.272ms         0.53%       1.272ms       2.471us           515
                                               aten::mm         0.59%       1.737ms         0.79%       2.311ms      45.306us     687.650us         0.28%     687.650us      13.483us            51
                                 _C::fused_add_rms_norm         0.23%     679.002us         0.42%       1.235ms      12.861us     569.436us         0.24%     569.436us       5.932us            96
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     569.436us         0.24%     569.436us       5.932us            96
                       chunk_offsets_from_global_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     433.630us         0.18%     433.630us       0.847us           512
